Rk,Player,Year,G,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Y/A,Longest Rushing Attempt,Receptions,Receiving Yards,Receiving Touchdowns,Y/R,Longest Reception
1,Ja'Marr Chase,2021,12,6,15,0,2.5,10,55,958,8,17.4,82
2,DeVonta Smith,2021,13,0,0,0,,0,50,701,4,14.0,37
1,Odell Beckham Jr,2021,9,2,14,0,7.0,10,26,359,2,13.8,54
2,Mike Evans,2021,12,1,10,0,10.0,10,57,794,10,13.9,46
2,Richard Sherman,2021,3,0,0,0,,0,0,0,0,,0
2,DeAndre Hopkins,2021,9,0,0,0,,0,37,518,8,14.0,55
2,Tyreek Hill,2021,12,8,94,0,11.8,33,86,954,8,11.1,75
2,Julio Jones,2021,6,0,0,0,,0,21,336,0,16.0,51
2,Allen Robinson,2021,9,0,0,0,,0,30,339,1,11.3,39
2,Stefon Diggs,2021,12,0,0,0,,0,71,898,7,12.6,61
2,Adam Thielen,2021,12,1,2,0,2.0,2,64,686,10,10.7,35
2,Amari Cooper,2021,10,0,0,0,,0,46,624,5,13.6,41
